Year,Total,Coal,Oil,Natural Gas,Nuclear,Natural Flow Hydro,Windand Solar,Coke and Breeze,Other Power
1995,77.15,36.29,4.15,13.27,21.25,0.4,0,0,1.79
1996,79.554,33.665,3.871,17.363,22.18,0.292,0.042,,2.141
1997,76.428,28.295,1.851,21.572,21.983,0.377,0.057,,2.293
1998,81.135,29.939,1.695,23.021,23.443,0.44,0.075,,2.522
1999,79.724,25.512,1.541,27.133,22.216,0.459,0.073,,2.79
2000,81.206,28.67,1.55,27.907,19.635,0.437,0.081,,2.926
2001,84.01,31.605,1.423,26.872,20.768,0.349,0.083,,2.91
2002,82.995,29.626,1.288,28.327,20.1,0.412,0.108,,3.134
2003,85.947,32.542,1.192,27.853,20.041,0.278,0.111,,3.93
2004,84.569,31.312,1.1,29.254,18.164,0.418,0.167,,4.154
2005,86.675,32.575,1.305,28.517,18.372,0.423,0.25,,5.233
2006,87.063,35.943,1.433,26.776,17.131,0.395,0.364,,5.021
2007,84.284,32.92,1.16,30.6,14.037,0.437,0.455,,4.675
2008,81.576,29.961,1.582,32.4,11.91,0.442,0.614,,4.667
2009,78.42,24.66,1.51,30.9,15.23,0.45,0.8,,4.87
2010,79.41,25.56,1.18,32.43,13.93,0.31,0.89,,5.11
2011,76.52,26.03,0.78,26.58,15.63,0.49,1.39,,5.62
2012,77.24,34.33,0.73,18.62,15.21,0.46,1.82,,6.07
2013,74.52,31.33,0.59,17.7,15.44,0.4,2.61,,6.45
2014,68.48,24.01,0.55,18.73,13.85,0.51,3.1,,7.73
2015,66.72,18.34,0.61,18.28,15.48,0.54,4.11,,9.36
2016,63.67,7.53,0.58,25.63,15.41,0.46,4.09,,9.96
2017,61.71,5.55,0.54,24.6,15.12,0.51,5.25,,10.13
2018,59.88,4.24,0.49,23.51,14.06,0.47,5.98,,11.13
2019,56.1949,1.85,0.3895,23.4521,12.087,0.5101,6.5578,,11.3484
2020,52.3762,1.469,0.3628,19.9751,10.7201,0.5903,7.6121,,11.6468
2021,53.0097,1.6707,0.4111,21.8285,9.9028,0.4726,6.6041,,12.1199
